,Lat,Long
0,33.93911,67.709953
1,41.1533,20.1683
2,28.0339,1.6596
3,42.5063,1.5218
4,-11.2027,17.8739
5,-71.9499,23.347
6,17.0608,-61.7964
7,-38.4161,-63.6167
8,40.0691,45.0382
9,-35.4735,149.0124
10,-33.8688,151.2093
11,-12.4634,130.8456
12,-27.4698,153.0251
13,-34.9285,138.6007
14,-42.8821,147.3272
15,-37.8136,144.9631
16,-31.9505,115.8605
17,47.5162,14.5501
18,40.1431,47.5769
19,25.025885,-78.035889
20,26.0275,50.55
21,23.685,90.3563
22,13.1939,-59.5432
23,53.7098,27.9534
24,50.8333,4.469936
25,17.1899,-88.4976
26,9.3077,2.3158
27,27.5142,90.4336
28,-16.2902,-63.5887
29,43.9159,17.6791
30,-22.3285,24.6849
31,-14.235,-51.9253
32,4.5353,114.7277
33,42.7339,25.4858
34,12.2383,-1.5616
35,21.9162,95.956
36,-3.3731,29.9189
37,16.5388,-23.0418
38,11.55,104.9167
39,3.848,11.5021
40,53.9333,-116.5765
41,53.7267,-127.6476
42,0.0,0.0
43,0.0,0.0
44,53.7609,-98.8139
45,46.5653,-66.4619
46,53.1355,-57.6604
47,64.8255,-124.8457
48,44.682,-63.7443
49,70.2998,-83.1076
50,51.2538,-85.3232
51,46.5107,-63.4168
52,52.9399,-73.5491
53,0.0,0.0
54,52.9399,-106.4509
55,64.2823,-135.0
56,6.6111,20.9394
57,15.4542,18.7322
58,-35.6751,-71.543
59,31.8257,117.2264
60,40.1824,116.4142
61,30.0572,107.874
62,26.0789,117.9874
63,35.7518,104.2861
64,23.3417,113.4244
65,23.8298,108.7881
66,26.8154,106.8748
67,19.1959,109.7453
68,39.549,116.1306
69,47.862,127.7615
70,37.8957,114.9042
71,22.3,114.2
72,30.9756,112.2707
73,27.6104,111.7088
74,44.0935,113.9448
75,32.9711,119.455
76,27.614,115.7221
77,43.6661,126.1923
78,41.2956,122.6085
79,22.1667,113.55
80,37.2692,106.1655
81,35.7452,95.9956
82,35.1917,108.8701
83,36.3427,118.1498
84,31.202,121.4491
85,37.5777,112.2922
86,30.6171,102.7103
87,39.3054,117.323
88,31.6927,88.0924
89,0.0,0.0
90,41.1129,85.2401
91,24.974,101.487
92,29.1832,120.0934
93,4.5709,-74.2973
94,-11.6455,43.3333
95,-0.228,15.8277
96,-4.0383,21.7587
97,9.7489,-83.7534
98,7.54,-5.5471
99,45.1,15.2
100,21.521757,-77.781167
101,35.1264,33.4299
102,49.8175,15.473
103,61.8926,-6.9118
104,71.7069,-42.6043
105,56.2639,9.5018
106,0.0,0.0
107,11.8251,42.5903
108,15.415,-61.371
109,18.7357,-70.1627
110,-1.8312,-78.1834
111,26.820553,30.802498
112,13.7942,-88.8965
113,1.6508,10.2679
114,15.1794,39.7823
115,58.5953,25.0136
116,-26.5225,31.4659
117,9.145,40.4897
118,-17.7134,178.065
119,61.92411,25.748151
120,3.9339,-53.1258
121,-17.6797,149.4068
122,16.265,-61.551
123,14.6415,-61.0242
124,-12.8275,45.166244
125,-20.904305,165.618042
126,-21.1151,55.5364
127,17.9,-62.8333
128,46.8852,-56.3159
129,18.0708,-63.0501
130,-14.2938,-178.1165
131,46.2276,2.2137
132,-0.8037,11.6094
133,13.4432,-15.3101
134,42.3154,43.3569
135,51.165691,10.451526
136,7.9465,-1.0232
137,39.0742,21.8243
138,12.1165,-61.679
139,15.7835,-90.2308
140,9.9456,-9.6966
141,11.8037,-15.1804
142,4.860416,-58.93018
143,18.9712,-72.2852
144,41.9029,12.4534
145,15.2,-86.2419
146,47.1625,19.5033
147,64.9631,-19.0208
148,20.593684,78.96288
149,-0.7893,113.9213
150,32.427908,53.688046
151,33.223191,43.679291
152,53.1424,-7.6921
153,31.046051,34.851612
154,41.87194,12.56738
155,18.1096,-77.2975
156,36.204824,138.252924
157,31.24,36.51
158,48.0196,66.9237
159,-0.0236,37.9062
160,-3.3704,-168.734
161,40.3399,127.5101
162,35.907757,127.766922
163,42.602636,20.902977
164,29.31166,47.481766
165,41.20438,74.766098
166,19.85627,102.495496
167,56.8796,24.6032
168,33.8547,35.8623
169,-29.61,28.2336
170,6.428055,-9.429499
171,26.3351,17.228331
172,47.14,9.55
173,55.1694,23.8813
174,49.8153,6.1296
175,0.0,0.0
176,-18.766947,46.869107
177,-13.2543,34.3015
178,4.210484,101.975766
179,3.2028,73.2207
180,17.570692,-3.996166
181,35.9375,14.3754
182,7.1315,171.1845
183,21.0079,-10.9408
184,-20.348404,57.552152
185,23.6345,-102.5528
186,7.4256,150.5508
187,47.4116,28.3699
188,43.7333,7.4167
189,46.8625,103.8467
190,42.708678,19.37439
191,31.7917,-7.0926
192,-18.665695,35.529562
193,-22.9576,18.4904
194,-0.5228,166.9315
195,28.1667,84.25
196,12.5211,-69.9683
197,12.1784,-68.2385
198,12.1696,-68.99
199,18.0425,-63.0548
200,52.1326,5.2913
201,-21.2367,-159.7777
202,-19.0544,-169.8672
203,-40.9006,174.886
204,12.865416,-85.207229
205,17.607789,8.081666
206,9.082,8.6753
207,41.6086,21.7453
208,60.472,8.4689
209,21.512583,55.923255
210,30.3753,69.3451
211,7.515,134.5825
212,8.538,-80.7821
213,-6.314993,143.95555
214,-23.4425,-58.4438
215,-9.19,-75.0152
216,12.879721,121.774017
217,51.9194,19.1451
218,39.3999,-8.2245
219,25.3548,51.1839
220,45.9432,24.9668
221,61.52401,105.318756
222,-1.9403,29.8739
223,17.357822,-62.782998
224,13.9094,-60.9789
225,12.9843,-61.2872
226,-13.759,-172.1046
227,43.9424,12.4578
228,0.1864,6.6131
229,23.885942,45.079162
230,14.4974,-14.4524
231,44.0165,21.0059
232,-4.6796,55.492
233,8.460555,-11.779889
234,1.2833,103.8333
235,48.669,19.699
236,46.1512,14.9955
237,-9.6457,160.1562
238,5.152149,46.199616
239,-30.5595,22.9375
240,6.877,31.307
241,40.463667,-3.74922
242,7.873054,80.771797
243,12.8628,30.2176
244,35.6491,139.7737
245,3.9193,-56.0278
246,60.128161,18.643501
247,46.8182,8.2275
248,34.802075,38.996815
249,23.7,121.0
250,38.861,71.2761
251,-6.369028,34.888822
252,15.870032,100.992541
253,-8.874217,125.727539
254,8.6195,0.8248
255,-21.179,-175.1982
256,10.6918,-61.2225
257,33.886917,9.537499
258,38.9637,35.2433
259,-7.1095,177.6493
260,40.0,-100.0
261,1.373333,32.290275
262,48.3794,31.1656
263,23.424076,53.847818
264,18.2206,-63.0686
265,32.3078,-64.7505
266,18.4207,-64.64
267,19.3133,-81.2546
268,49.3723,-2.3644
269,-51.7963,-59.5236
270,36.1408,-5.3536
271,49.448196,-2.58949
272,54.2361,-4.5481
273,49.2138,-2.1358
274,16.742498,-62.187366
275,-24.3768,-128.3242
276,-7.9467,-14.3559
277,21.694,-71.7979
278,55.3781,-3.436
279,-32.5228,-55.7658
280,41.377491,64.585262
281,-15.3767,166.9592
282,6.4238,-66.5897
283,14.058324,108.277199
284,31.9522,35.2332
285,39.9042,116.4074
286,15.552727,48.516388
287,-13.133897,27.849332
288,-19.015438,29.154857
